"OBR Scope","OBR BU","BU Defined Filter 2","BU Defined Filter 3","BU Defined Filter 4","Site","Metric Type","Incident Classification","fiscal_year","period_name","Incidents","Hours","Rate","Period Over Period* (%Change)"
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK52",203,1651921.908,24.577432990857822,-0.0027
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK51",201,1631332.059,24.64243853862741,-0.001
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK50",197,1597327.677,24.666197529362663,-0.0027
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK49",193,1560715.121,24.732252209658704,-0.0089
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK48",190,1522885.305,24.95263423662756,0.004
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK47",185,1488727.628,24.853438133412542,0.002
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK46",181,1459562.112,24.801959233099087,-0.0134
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK45",180,1432078.413,25.138288290084017,-0.0024
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK44",177,1404926.046,25.197055817128753,-0.0151
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK43",176,1376041.991,25.58061471250553,-0.0087
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK42",174,1348627.77,25.804006690445057,0.0069
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK41",169,1318930.46,25.62682493510689,0.0161
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK40",162,1284726.917,25.219367299984736,-0.0058
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK39",159,1253665.19,25.365624134462887,-0.0159
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK38",158,1226046.957,25.773890485664328,-0.004
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK37",155,1197995.802,25.876551443875595,0.0154
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK36",149,1169400.297,25.48314728194395,-0.0131
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK35",147,1138626.843,25.820575178553028,0.0067
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK34",142,1107314.568,25.647635117178375,-0.0077
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK33",139,1075596.57,25.846121841017027,0.0066
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK32",134,1043867.766,25.67374994506728,0.0398
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK31",125,1012588.169,24.689208076259877,0.0276
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK30",118,982373.244,24.02345558996108,0.0112
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK29",113,951291.597,23.757174005606192,0.094
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK28",99,911812.994,21.7149789817538,0.0247
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK27",92,868291.264,21.191045865457426,-0.0164
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK26",90,835550.144,21.54269271480133,0.0234
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK25",84,798114.025,21.049623830379375,0.0013
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK24",80,761113.384,21.021835033188697,-0.0221
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK23",78,725744.431,21.49517010899392,0.0038
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK22",74,691181.456,21.41261150964675,-0.0086
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK21",71,657484.025,21.597482919832157,-0.0101
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK20",68,623353.106,21.817489748739618,-0.0249
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK19",66,589937.126,22.37526580078298,0.0046
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK18",62,556769.807,22.271322625797485,0.0036
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK17",58,522760.671,22.189886583874248,-0.041
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK16",57,492697.846,23.137913211010872,0.012
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK15",53,463659.861,22.861586459389464,-0.0457
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK14",52,434121.586,23.956422199194673,-0.0322
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK13",50,404032.643,24.75047542136342,-0.0323
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK12",48,375353.021,25.57592309880463,0.0511
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK11",42,345222.349,24.332144266824393,0.0611
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK10",36,314014.694,22.928863322555216,0.2394
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK09",26,281103.867,18.498500413727854,0.0963
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK08",21,248902.896,16.874050352551944,0.0145
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK07",18,216447.941,16.632174847068654,0.0395
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK06",15,187512.753,15.998911818013786,0.0388
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK05",12,155834.071,15.400996615175382,0.5928
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK04",6,124109.422,9.668887185696505,0.1049
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK03",4,91419.084,8.750908070791871,1.5321
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK02",1,57868.114,3.456134754970587,
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","AIR","ALL",2025,"2025 WK01",0,26118.943,0,-1
