"OBR Scope","OBR BU","BU Defined Filter 2","BU Defined Filter 3","BU Defined Filter 4","Site","Metric Type","Incident Classification","fiscal_year","period_name","Incidents","Hours","Rate","Period Over Period* (%Change)"
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK50",1,1597337.393,0.12520836291472207,-0.0235
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK49",1,1560715.988,0.12814631331885865,-0.023
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK48",1,1522882.505,0.13132989534212294,-0.0224
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK47",1,1488728.895,0.13434279449516562,-0.0219
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK46",1,1459562.979,0.13702731768178122,-0.0215
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK45",1,1432079.346,0.1396570661804657,-0.0141
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK44",1,1404926.846,0.14235616649324104,-0.0207
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK43",1,1376042.791,0.1453443172756682,-0.0203
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK42",1,1348627.77,0.1482988890255463,-0.0264
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK41",1,1318930.46,0.15163801736749638,-0.0257
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK40",1,1284726.917,0.15567510679002922,-0.025
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK39",1,1253665.19,0.15953222726077287,-0.0185
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK38",1,1226046.957,0.16312588914977422,-0.024
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK37",1,1197995.802,0.16694549318629417,-0.0234
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK36",1,1169400.297,0.1710278341070064,-0.0285
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK35",1,1138626.843,0.17565017128267366,-0.0277
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK34",1,1107314.568,0.18061714871252377,-0.0269
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK33",1,1075596.57,0.1859433225972448,-0.0313
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK32",1,1043867.766,0.19159514884378565,-0.0304
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK31",1,1012588.169,0.19751366461007902,-0.0295
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK30",1,982373.244,0.20358860669458542,-0.0286
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK29",1,951291.597,0.2102404779257185,-0.0411
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK28",1,911812.994,0.21934322203791715,-0.0479
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK27",1,868291.264,0.23033745505931982,-0.0377
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK26",1,835550.144,0.23936325238668144,-0.0479
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK25",1,798114.025,0.25059075988546875,-0.0457
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK24",1,761113.384,0.26277293791485873,-0.0472
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK23",1,725744.431,0.2755791039614605,-0.045
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK22",1,691181.456,0.2893596149952264,-0.0494
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK21",1,657484.025,0.3041899002793262,-0.053
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK20",1,623353.106,0.32084543748146493,-0.0531
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK19",1,589937.126,0.3390191787997421,-0.0558
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK18",1,556769.807,0.35921488106124977,-0.0627
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK17",1,522760.671,0.38258425144610775,-0.0567
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK16",1,492697.846,0.40592830194755913,-0.0581
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK15",1,463659.861,0.43135068791300873,-0.0651
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK14",1,434121.586,0.4607004269075899,-0.0687
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK13",1,404032.643,0.4950095084272684,-0.0713
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK12",1,375353.021,0.5328317312250965,-0.0795
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK11",1,345222.349,0.5793367682577237,-0.0911
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK10",1,314014.694,0.6369128700709782,
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK09",0,281103.867,0,
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK08",0,248902.896,0,
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK07",0,216447.941,0,
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK06",0,187512.753,0,
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK05",0,155834.071,0,
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK04",0,124109.422,0,
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK03",0,91419.084,0,
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK02",0,57868.114,0,
"NACF","USNS","Traditional Non Sortable","Lamb","Kumar","TEB3","SIR","ALL",2025,"2025 WK01",0,26118.943,0,-1
