"OBR BU","BU Defined Filter 2","BU Defined Filter 3","Site","Process Path","FY","Period Name","Incidents","%Incidents","FCLM Hours","%FCLM Hours","AIR"
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,52,0,0,4166.14,0.22253951466008579,0
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,51,1,0.3333333333333333,7051.45,0.22016551168588686,28.362960809478903
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,50,1,0.25,7458.05,0.21546333406617724,26.81666119159834
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,49,0,0,8806.4,0.24569282872338438,0
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,48,1,0.2,7683.3,0.23836107795930184,26.03048169406375
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,47,1,0.25,5574.24,0.20532458046376897,35.87933063520767
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,46,0,0,4655.19,0.18329677391157462,0
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,45,2,0.6666666666666666,4707.48,0.18877551838799658,84.97115229379627
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,44,0,0,4512.03,0.16869318980549564,0
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,43,0,0,4643.46,0.18054625091615326,0
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,42,1,0.2,5115.6,0.18615402138318596,39.0960982093987
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,41,1,0.14285714285714285,7148.06,0.22151408003322065,27.979619645050544
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,40,1,0.3333333333333333,5328.37,0.1838894613945225,37.534930945110794
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,39,0,0,4731.01,0.1849461718256154,0
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,38,0,0,4973.3,0.19226657914097245,0
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,37,1,0.16666666666666666,4437.59,0.16624813571716773,45.069508449406094
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,36,0,0,5442.99,0.18840531551112,0
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,35,0,0,6224.45,0.21108674685393608,0
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,34,0,0,5854.33,0.19651812604648228,0
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,33,2,0.4,5512.07,0.18480494809635217,72.56801891122574
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,32,2,0.2222222222222222,5738.43,0.19500832410415206,69.70547693358635
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,31,2,0.2857142857142857,5799,0.2024942514888513,68.97740989825832
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,30,1,0.2,5926.34,0.2021728755241234,33.747641883523386
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,29,5,0.35714285714285715,7423.76,0.19659058951013358,134.70263047296788
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,28,1,0.14285714285714285,10104.59,0.2423880352123386,19.792985168126563
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,27,0,0,6539.84,0.21106607110583256,0
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,26,3,0.5,7381.59,0.20692482593885933,81.28330075227694
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,25,1,0.25,7212.6,0.20426132059307886,27.72925158749965
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,24,1,0.5,6978.23,0.2075574846575221,28.660562922116355
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,23,1,0.25,6609.33,0.20252157257242873,30.260253308580445
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,22,1,0.3333333333333333,6651.84,0.20892434978898197,30.066868716024437
"USNS","Traditional Non Sortable","Kumar","TEB3","Pick",2025,21,2,0.6666666666666666,6698.34,0.20662040101694767,59.71628791611056
