"Metric 1","Incidents","incident_id (CUSTOM)","RI","recordable (CUSTOM)","MSD RI","%MSD RI","DART","dart (CUSTOM)","LTI","%LTI"
"Pick",21284,0.11962814330197057,3590,0.125673878036827,2370,0.13034869651303488,3366,0.12773708777655496,650,0.11312217194570136
"Each Transfer In",10629,0.059741004282871886,1956,0.06847300987187566,1361,0.07485425145748542,1816,0.06891579067208076,374,0.0650887573964497
"Pack Singles",9173,0.05155745905417102,1692,0.05923125393824827,1184,0.06511934880651193,1571,0.05961823080717999,313,0.054472676644622346
"Chuting",8716,0.0489888600366461,1548,0.05419029615626969,1052,0.05785942140578594,1455,0.05521612083032902,332,0.05777932474765054
"Transfer Out",8574,0.048190739554176645,1420,0.049709444794510955,939,0.05164448355516445,1329,0.05043451861409434,151,0.026279150713539853
"Pick & Stage - Pick",5899,0.03315572342314999,685,0.023979556115661976,429,0.023594764052359475,631,0.02394596030511176,219,0.03811347024016707
"Stow to Prime",5252,0.029519216717813823,834,0.029195547153959254,540,0.02969970300296997,775,0.029410648552237108,164,0.02854159415245388
"Container Building",4944,0.027788082150204025,721,0.02523979556115662,484,0.026619733802661975,651,0.02470494478387917,226,0.03933170901496694
"Transfer In Support",4934,0.02773187648242449,776,0.027165161380662325,436,0.023979760202397976,731,0.027740882698948807,163,0.028367560041768186
"Container Build",4600,0.02585460717858789,715,0.025029755653574178,462,0.025409745902540973,671,0.025463929262646578,132,0.02297250261051166
"ADTA Container Building",4398,0.024719252689441203,525,0.01837849191346356,360,0.01979980200197998,483,0.018329475162232933,182,0.03167420814479638
"Receive Dock",4136,0.023246664193617286,726,0.02541482881747532,430,0.023649763502364977,676,0.025653675382338433,92,0.016011138183083886
"Transfer In Dock",3636,0.02043638080464034,580,0.020303857732969263,395,0.02172478275217248,539,0.020454631702781677,117,0.020361990950226245
"Sort-Flow",3563,0.020026079429849707,567,0.01984877126654064,432,0.023759762402375977,525,0.01992334256764449,111,0.01931778628611208
"RC Sort",3421,0.019227958947380254,696,0.024364629279563118,479,0.026344736552634473,637,0.024173655648741982,74,0.012878524190741385
