site,fiscal_year,week_sum,incidents,fclm_hours,process_path,incidents_per_10k_hours,process_path_rank,top_3_flag_path
teb3,2025,1,0,4877.0,pick,0.0,1,1
teb3,2025,1,0,2184.62,admin/hr/it,0.0,1,1
teb3,2025,1,0,1562.52,stow to prime,0.0,1,1
teb3,2025,1,0,1777.24,pack singles,0.0,1,1
teb3,2025,1,0,1293.2,ic-qa-cs,0.0,1,1
teb3,2025,1,0,1358.8,container build,0.0,1,1
teb3,2025,1,0,1009.61,rsr support,0.0,1,1
teb3,2025,1,0,1307.53,fluid load,0.0,1,1
teb3,2025,1,0,794.76,each-receive,0.0,1,1
teb3,2025,1,0,412.29,,0.0,1,1
teb3,2025,1,0,307.72,transfer out,0.0,1,1
teb3,2025,1,0,709.79,each transfer in,0.0,1,1
teb3,2025,1,0,606.25,pick support,0.0,1,1
teb3,2025,1,0,569.7,pack support,0.0,1,1
teb3,2025,1,0,480.92,receive dock,0.0,1,1
teb3,2025,1,0,408.68,receive-support,0.0,1,1
teb3,2025,1,0,422.9,pack multis,0.0,1,1
teb3,2025,1,0,340.78,ib problem solve,0.0,1,1
teb3,2025,1,0,597.75,transfer in dock,0.0,1,1
teb3,2025,1,0,117.18,transfer out dock,0.0,1,1
teb3,2025,1,0,265.21,outbound lead/pa,0.0,1,1
teb3,2025,1,0,280.07,container load,0.0,1,1
teb3,2025,1,0,97.13,ship dock support,0.0,1,1
teb3,2025,1,0,77.86,stow to prime spt,0.0,1,1
teb3,2025,1,0,232.0,container move,0.0,1,1
teb3,2025,1,0,301.09,sort-batch,0.0,1,1
teb3,2025,1,0,252.6,transfer in support,0.0,1,1
teb3,2025,1,0,104.32,ob problem solve,0.0,1,1
teb3,2025,1,0,142.55,inbound lead/pa,0.0,1,1
teb3,2025,1,0,159.56,c-returns processed,0.0,1,1
teb3,2025,1,0,127.47,ship dock lead/pa,0.0,1,1
teb3,2025,1,0,104.92,v-returns pick,0.0,1,1
teb3,2025,1,0,104.94,c-returns support,0.0,1,1
teb3,2025,1,0,157.66,pallet transfer in,0.0,1,1
teb3,2025,1,0,61.48,pallet-receive,0.0,1,1
teb3,2025,1,0,57.58,lp-receive,0.0,1,1
teb3,2025,1,0,56.09,v-returns support,0.0,1,1
teb3,2025,1,0,142.55,box on demand,0.0,1,1
teb3,2025,1,0,108.96,prep recorder,0.0,1,1
teb3,2025,1,0,35.56,cubiscan,0.0,1,1
teb3,2025,1,0,85.33,whd grading support,0.0,1,1
teb3,2025,1,0,34.8,whd grading,0.0,1,1
teb3,2025,1,0,2.45,on boarding,0.0,1,1
teb3,2025,1,0,38.82,transfer out lead/pa,0.0,1,1
teb3,2025,1,0,10.68,v-returns pack,0.0,1,1
teb3,2025,1,0,6.3,gift-wrap,0.0,1,1
teb3,2025,1,0,7.13,unrecognizedprocess,0.0,1,1
teb3,2025,1,0,1.37,custom packaging,0.0,1,1
teb3,2025,1,0,0.9,v-returns rvr,0.0,1,1
teb3,2025,2,1,2007.77,ic-qa-cs,4.980650174073723,1,1
teb3,2025,2,0,5184.92,pick,0.0,2,1
teb3,2025,2,0,2850.89,admin/hr/it,0.0,2,1
teb3,2025,2,0,2516.51,stow to prime,0.0,2,1
teb3,2025,2,0,1763.55,pack singles,0.0,2,1
teb3,2025,2,0,1355.52,container build,0.0,2,1
teb3,2025,2,0,1509.55,rsr support,0.0,2,1
teb3,2025,2,0,1488.97,fluid load,0.0,2,1
teb3,2025,2,0,1106.8,each-receive,0.0,2,1
teb3,2025,2,0,414.26,,0.0,2,1
teb3,2025,2,0,351.87,transfer out,0.0,2,1
teb3,2025,2,0,1163.73,each transfer in,0.0,2,1
teb3,2025,2,0,987.27,pick support,0.0,2,1
teb3,2025,2,0,689.07,pack support,0.0,2,1
teb3,2025,2,0,527.13,receive dock,0.0,2,1
teb3,2025,2,0,442.83,receive-support,0.0,2,1
teb3,2025,2,0,500.48,pack multis,0.0,2,1
teb3,2025,2,0,430.44,ib problem solve,0.0,2,1
teb3,2025,2,0,813.69,transfer in dock,0.0,2,1
teb3,2025,2,0,119.77,transfer out dock,0.0,2,1
teb3,2025,2,0,367.01,outbound lead/pa,0.0,2,1
teb3,2025,2,0,286.51,container load,0.0,2,1
teb3,2025,2,0,108.35,ship dock support,0.0,2,1
teb3,2025,2,0,727.31,stow to prime spt,0.0,2,1
teb3,2025,2,0,247.58,container move,0.0,2,1
teb3,2025,2,0,350.51,sort-batch,0.0,2,1
teb3,2025,2,0,401.16,transfer in support,0.0,2,1
teb3,2025,2,0,152.28,ob problem solve,0.0,2,1
teb3,2025,2,0,151.72,inbound lead/pa,0.0,2,1
teb3,2025,2,0,58.14,c-returns processed,0.0,2,1
teb3,2025,2,0,84.21,ship dock lead/pa,0.0,2,1
teb3,2025,2,0,111.64,v-returns pick,0.0,2,1
teb3,2025,2,0,17.26,c-returns support,0.0,2,1
teb3,2025,2,0,206.77,pallet transfer in,0.0,2,1
teb3,2025,2,0,92.89,pallet-receive,0.0,2,1
teb3,2025,2,0,84.6,lp-receive,0.0,2,1
teb3,2025,2,0,123.23,v-returns support,0.0,2,1
teb3,2025,2,0,128.27,box on demand,0.0,2,1
teb3,2025,2,0,86.53,prep recorder,0.0,2,1
teb3,2025,2,0,44.34,cubiscan,0.0,2,1
teb3,2025,2,0,114.04,whd grading support,0.0,2,1
teb3,2025,2,0,40.01,whd grading,0.0,2,1
teb3,2025,2,0,240.84,on boarding,0.0,2,1
teb3,2025,2,0,57.63,transfer out lead/pa,0.0,2,1
teb3,2025,2,0,6.64,v-returns pack,0.0,2,1
teb3,2025,2,0,7.61,gift-wrap,0.0,2,1
teb3,2025,2,0,6.62,unrecognizedprocess,0.0,2,1
teb3,2025,2,0,1.8,custom packaging,0.0,2,1
teb3,2025,3,1,2998.84,admin/hr/it,3.33462272078537,1,1
teb3,2025,3,1,3523.95,stow to prime,2.8377247123256573,1,1
teb3,2025,3,1,1378.91,fluid load,7.2521049234540325,1,1
teb3,2025,3,0,5118.89,pick,0.0,4,0
teb3,2025,3,0,1658.27,pack singles,0.0,4,0
teb3,2025,3,0,1973.69,ic-qa-cs,0.0,4,0
teb3,2025,3,0,1310.64,container build,0.0,4,0
teb3,2025,3,0,1593.97,rsr support,0.0,4,0
teb3,2025,3,0,1305.3,each-receive,0.0,4,0
teb3,2025,3,0,515.37,,0.0,4,0
teb3,2025,3,0,273.45,transfer out,0.0,4,0
teb3,2025,3,0,1084.12,each transfer in,0.0,4,0
teb3,2025,3,0,815.06,pick support,0.0,4,0
teb3,2025,3,0,658.93,pack support,0.0,4,0
teb3,2025,3,0,591.0,receive dock,0.0,4,0
teb3,2025,3,0,598.65,receive-support,0.0,4,0
teb3,2025,3,0,487.11,pack multis,0.0,4,0
teb3,2025,3,0,468.85,ib problem solve,0.0,4,0
teb3,2025,3,0,673.24,transfer in dock,0.0,4,0
teb3,2025,3,0,168.64,transfer out dock,0.0,4,0
teb3,2025,3,0,396.52,outbound lead/pa,0.0,4,0
teb3,2025,3,0,263.64,container load,0.0,4,0
teb3,2025,3,0,113.15,ship dock support,0.0,4,0
teb3,2025,3,0,645.63,stow to prime spt,0.0,4,0
teb3,2025,3,0,245.97,container move,0.0,4,0
teb3,2025,3,0,323.31,sort-batch,0.0,4,0
teb3,2025,3,0,414.6,transfer in support,0.0,4,0
teb3,2025,3,0,122.74,ob problem solve,0.0,4,0
teb3,2025,3,0,127.78,inbound lead/pa,0.0,4,0
teb3,2025,3,0,187.47,c-returns processed,0.0,4,0
teb3,2025,3,0,155.09,ship dock lead/pa,0.0,4,0
teb3,2025,3,0,157.26,v-returns pick,0.0,4,0
teb3,2025,3,0,135.88,c-returns support,0.0,4,0
teb3,2025,3,0,205.68,pallet transfer in,0.0,4,0
teb3,2025,3,0,64.13,pallet-receive,0.0,4,0
teb3,2025,3,0,99.87,lp-receive,0.0,4,0
